Артикул;Наименование;Количество;Единица измерения;Тип;Цена
PN 63;Дюбель 6 х 30 серый, пластик;2302;шт.;Дюбель;1,13
PN 84;Дюбель 8 х 40 серый, пластик;1018;шт.;Дюбель;1,91
4006 0805/3,5Х15;Саморез с потайной головкой под крест 3.5 Х 15;2122;шт.;Саморез;0,42
6 01033 50 ZN;LIKU Саморез с полукруглой головкой под крест для крепления мебельного навеса;1420;шт.;Саморез;4,24
SW5,0 X 35 KB/ШТ;Саморез с цилиндрической головкой и внутренним шестигранником;544;шт.;Саморез;4,68
SW6,0 X 35 KB/ШТ;Саморез с цилиндрической головкой и внутренним шестигранником;1176;шт.;Саморез;4,68
US3,0 X 13 KB/1000ШТ;Саморез с потайной головкой под крест, 3 Х 13;767;упак.;Саморез;269,86
US3,0 X 16 KB/1000ШТ;Саморез с потайной головкой под крест, 3 Х 16;2088;упак.;Саморез;301,87
US3,0 X 20 KB/1000ШТ;Саморез с потайной головкой под крест, 3 Х 20;699;упак.;Саморез;350,93
US3,0 X 30 KB/1000ШТ;Саморез с потайной головкой под крест, 3 Х 30;699;упак.;Саморез;450,09
US3,5 X 13 KB/1000ШТ;Саморез с потайной головкой под крест, 3.5 Х 13;1132;упак.;Саморез;264,84
US3,5 X 16 BL/100ШТ;Саморез с потайной головкой под крест, 3.5 Х 16, черный;2751;упак.;Саморез;61,85
US3,5 X 16 KB/1000ШТ;Саморез с потайной головкой под крест, 3.5 Х 16;2707;упак.;Саморез;299,47
US3,5 X 20 KB/1000ШТ;Саморез с потайной головкой под крест, 3.5 Х 20;2708;упак.;Саморез;357
US3,5 X 25 KB/1000ШТ;Саморез с потайной головкой под крест, 3.5 Х 25;1192;упак.;Саморез;403,87
US3,5 X 30 KB/1000ШТ;Саморез с потайной головкой под крест, 3.5 Х 30;710;упак.;Саморез;431,85
US3,5 X 40 KB/1000ШТ;Саморез с потайной головкой под крест, 3.5 Х 40;1355;упак.;Саморез;604,53
US3,5 X 60 KB/250ШТ;Саморез с потайной головкой под крест, 3.5 Х 60;1504;упак.;Саморез;262,86
US4,0 X 16 BL/100ШТ;Саморез с потайной головкой под крест, 4 Х 16, черный;334;упак.;Саморез;70,54
US4,0 X 16 KB/1000ШТ;Саморез с потайной головкой под крест, 4 Х 16;1634;упак.;Саморез;368,53
US4,0 X 20 KB/500ШТ;Саморез с потайной головкой под крест, 4 Х 20;1224;упак.;Саморез;209,57
US4,0 X 25 KB/500ШТ;Саморез с потайной головкой под крест, 4 Х 25;137;упак.;Саморез;241,87
US4,0 X 30 KB/500ШТ;Саморез с потайной головкой под крест, 4 Х 30;1596;упак.;Саморез;290,28
US4,0 X 40 KB/500ШТ;Саморез с потайной головкой под крест, 4 Х 40;2868;упак.;Саморез;333,96
US6,0 X 30 KB/1000ШТ;Саморез с потай. головкой под крест;1575;упак.;Саморез;316,52
US6,0 X 30 KB/100ШТ;Саморез с потай. головкой под крест;1718;упак.;Саморез;30,5
UW3,0 X 50 KB/1000ШТ;Саморез с полукруглой головкой под крест;277;упак.;Саморез;200
UW3,0 X 50 KB/100ШТ;Саморез с полукруглой головкой под крест;1458;упак.;Саморез;20
UW4,0 X 30 KB/1000ШТ;Саморез с полукруглой головкой под крест;2933;упак.;Саморез;1046,77
6,3 Х 13 VЕ 05;Евровинт с потайной головкой, 6.3 Х 13;1033;тыс. шт.;Евровинт;679,45
EC 4.0X13.0;Евровинт с потайной головкой, 4.0 X 13;1326;тыс. шт.;Евровинт;484,65
EC 6.0X11.5 / ШТ;Евровинт с потайной головкой, 6.0 X 11.5;2521;шт.;Евровинт;0,78
